symbol,bucket,dex,source,note
cash:USA500,indices,cash,allPerpMetas,live in allPerpMetas but absent from perpCategories
cash:TSLA,stocks,cash,allPerpMetas,live in allPerpMetas but absent from perpCategories
cash:NVDA,stocks,cash,allPerpMetas,live in allPerpMetas but absent from perpCategories
cash:HOOD,stocks,cash,allPerpMetas,live in allPerpMetas but absent from perpCategories
cash:GOOGL,stocks,cash,allPerpMetas,live in allPerpMetas but absent from perpCategories
cash:INTC,stocks,cash,allPerpMetas,live in allPerpMetas but absent from perpCategories
cash:AMZN,stocks,cash,allPerpMetas,live in allPerpMetas but absent from perpCategories
cash:MSFT,stocks,cash,allPerpMetas,live in allPerpMetas but absent from perpCategories
cash:META,stocks,cash,allPerpMetas,live in allPerpMetas but absent from perpCategories
cash:GOLD,commodities,cash,allPerpMetas,live in allPerpMetas but absent from perpCategories
cash:SILVER,commodities,cash,allPerpMetas,live in allPerpMetas but absent from perpCategories
cash:EWY,stocks,cash,allPerpMetas,live in allPerpMetas but absent from perpCategories
cash:WTI,commodities,cash,allPerpMetas,live in allPerpMetas but absent from perpCategories
cash:KWEB,stocks,cash,allPerpMetas,live in allPerpMetas but absent from perpCategories
xyz:BX,stocks,xyz,allMids(xyz),live in allMids(xyz) but absent from perpCategories
xyz:CORN,commodities,xyz,allMids(xyz),live in allMids(xyz) but absent from perpCategories
xyz:DKNG,stocks,xyz,allMids(xyz),live in allMids(xyz) but absent from perpCategories
xyz:HIMS,stocks,xyz,allMids(xyz),live in allMids(xyz) but absent from perpCategories
xyz:LITE,stocks,xyz,allMids(xyz),live in allMids(xyz) but absent from perpCategories
xyz:TTF,commodities,xyz,allMids(xyz),live in allMids(xyz) but absent from perpCategories
xyz:URANIUM,commodities,xyz,allMids(xyz),live in allMids(xyz) but absent from perpCategories
xyz:WHEAT,commodities,xyz,allMids(xyz),live in allMids(xyz) but absent from perpCategories
xyz:XLE,stocks,xyz,allMids(xyz),live in allMids(xyz) but absent from perpCategories
